[11080:1152:0316/005137.153:WARNING:CONSOLE(450)] "chrome.loadTimes() is deprecated, instead use standardized API: nextHopProtocol in Navigation Timing 2. https://www.chromestatus.com/features/5637885046816768.", source: https://apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.OfYsKuVZ3qI.O/m=gapi_iframes,googleapis_client,plusone/rt=j/sv=1/d=1/ed=1/rs=AHpOoo8UDq_6isr1vipw5cUlPTPPdx3_0A/cb=gapi.loaded_0 (450)
[11080:1152:0316/005137.154:WARNING:CONSOLE(450)] "chrome.loadTimes() is deprecated, instead use standardized API: nextHopProtocol in Navigation Timing 2. https://www.chromestatus.com/features/5637885046816768.", source: https://apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.OfYsKuVZ3qI.O/m=gapi_iframes,googleapis_client,plusone/rt=j/sv=1/d=1/ed=1/rs=AHpOoo8UDq_6isr1vipw5cUlPTPPdx3_0A/cb=gapi.loaded_0 (450)
[11080:1152:0316/005137.154:WARNING:CONSOLE(450)] "chrome.loadTimes() is deprecated, instead use standardized API: nextHopProtocol in Navigation Timing 2. https://www.chromestatus.com/features/5637885046816768.", source: https://apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.OfYsKuVZ3qI.O/m=gapi_iframes,googleapis_client,plusone/rt=j/sv=1/d=1/ed=1/rs=AHpOoo8UDq_6isr1vipw5cUlPTPPdx3_0A/cb=gapi.loaded_0 (450)
[11080:1152:0316/005138.410:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005138.436:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/inventory/ref=xx_invmgr_dnav_xx (65)
[11080:1152:0316/005138.457:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/inventory/ref=xx_invmgr_dnav_xx (0)
[11080:1152:0316/005139.011:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005139.037:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005139.351:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005146.004:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005146.033:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=ZN-6THS-QRVN&asin=B084ZDFSNM&productType=GUILD_APPAREL (65)
[11080:1152:0316/005146.035:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=ZN-6THS-QRVN&asin=B084ZDFSNM&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005146.129:INFO:CONSOLE(54)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://m.media-amazon.com/images/G/01/AUIClients/AmazonUIFont-amazonember_rg-cc7ebaa05a2cd3b02c0929ac0475a44ab30b7efa._V2_.woff2", source: https://images-na.ssl-images-amazon.com/images/I/61-6nKPKyWL._RC%7C11-BZEJ8lnL.js,61GQ9IdK7HL.js,21Of0-9HPCL.js,012FVc3131L.js,11S5WBtBslL.js,51CF7BmbF2L.js,11AHlQhPRjL.js,016iHgpF74L.js,11aNYFFS5hL.js,116tgw9TSaL.js,211-p4GRUCL.js,01PoLXBDXWL.js,61o1PgWsnML.js,01ezj5Rkz1L.js,11BOgvnnntL.js,31UWuPgtTtL.js,01rpauTep4L.js,01iyxuSGj4L.js,01nZw0IOzSL.js_.js?AUIClients/AmazonUI (54)
[11080:1152:0316/005146.129:INFO:CONSOLE(54)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://m.media-amazon.com/images/G/01/AUIClients/AmazonUIFont-amazonember_bd-46b91bda68161c14e554a779643ef4957431987b._V2_.woff2", source: https://images-na.ssl-images-amazon.com/images/I/61-6nKPKyWL._RC%7C11-BZEJ8lnL.js,61GQ9IdK7HL.js,21Of0-9HPCL.js,012FVc3131L.js,11S5WBtBslL.js,51CF7BmbF2L.js,11AHlQhPRjL.js,016iHgpF74L.js,11aNYFFS5hL.js,116tgw9TSaL.js,211-p4GRUCL.js,01PoLXBDXWL.js,61o1PgWsnML.js,01ezj5Rkz1L.js,11BOgvnnntL.js,31UWuPgtTtL.js,01rpauTep4L.js,01iyxuSGj4L.js,01nZw0IOzSL.js_.js?AUIClients/AmazonUI (54)
[11080:1152:0316/005146.373:INFO:CONSOLE(0)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://m.media-amazon.com/images/G/01/AUIClients/AmazonUIFont-amazonember_rgit-9cc1bb64eb270135f1adf3a4881c2ee5e7c37be5._V2_.woff2", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=ZN-6THS-QRVN&asin=B084ZDFSNM&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005147.416:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005147.450:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=YK-F6CU-R2KS&asin=B084ZDJW5F&productType=GUILD_APPAREL (65)
[11080:1152:0316/005147.456:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=YK-F6CU-R2KS&asin=B084ZDJW5F&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005148.911:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005148.959:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=YA-M1LY-48RM&asin=B084ZDL53S&productType=GUILD_APPAREL (65)
[11080:1152:0316/005148.961:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=YA-M1LY-48RM&asin=B084ZDL53S&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005150.257:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005150.496:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
